text,label,0,1,2,3,4,5,6,7,8,9,10,11
Racist is just a catch phrase for control of populations.  China has shut off travel to and from Wuhan without a health screening. N. Korea shut off all travel to and from Wuhan Australia is now screening all flights from Wuhan  At some point PC is nothing but a mind control word,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
There's a trail that MSS is checking that allowed the designer-bioweapon into China in the first place. In my opinion CIA introduced SARS targeting China previously. Novel Coronavirus is round 2 another destabilizing mega-weapon in their godless inhuman arsenal! IMPO 🇨🇳🕵️‍♀️,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,1
This new deathly virus has got me thinking. It’s conveniently started in China a grossly over populated country within East Asia which should arise everyones suspicions of population control. Let the FBI come for me but the proofs in the pudding 🤷🏼‍♀️ #CoronavirusOutbreak,COCO evaluation CONSPIRACY,1,1,1,1,1,1,3,1,1,1,1,1
Isn’t it kinda coincidental that the trials start just as the new strain of Coronavirus hits?  The deep state’s going to attack to distract from what’s going to happen. Q says the deep state is going to be exposed. This virus is patented. I did the research already. Research it.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,1
GLOBALISTNEWS you know that the coronavirus is named such because the communications of Corona was shut down on the deep state .This virus was manufactured  it’s documented. And who was in charge? Mr. bill gates and his wife. And what did he say in his Ted talk about viruses ?,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,3,1
Imagine if it's like measles 7 days survivability without a host and can survive on any packaging from China. Is it odd wuhan has 2 bioweapons labs and the virus original vector cant be traced? First it was rats then wolf pups then bat soup and now its snake on a stick whats next,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
This wuhan virus seems a little fishy. You have an unbalanced workforce from not allowing citizens to have multiple children so now the retirement pop is bigger than the working pop. That’s a difficult economy to run. Bioweapons have always been a public fear.,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,3,1
"todays tidbits from ""the site"" they tried to hack it this morning but back up nwo swing and miss again 1. VERY INTERESTING: Wuhan is where 5G was rolled out What if 5g wrecked immune systems and thereby boosted the virulency of the normal cold? One of the main points about 5G was",COCO evaluation CONSPIRACY,1,1,1,1,1,3,1,1,1,1,1,1
Conspiracy/not... This virus so massively attack people at wuhan some army barricade in-out gate to wuhan when i watch this video i feel china govt. Do depopulation but i hope people in wuhan can recover and back to normal again.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,3,1,1,1,1,1
"Coronavirus: ""Meldepflicht"" in Austria  Via Journalist/Whistleblower #JaneBurgermeister :   In Austria those ill need to register with the police.  ""While the new virus is mild NWO Globalists can keep trying to introduce new strains to make it worse using contaminated jabs.""",COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,3,1,1,3,1
